,Comentario
25,"4Jonathan_RotRFeb 13, 2024Western Developers ruined Silent Hill and everything that made it special with their ""Modern Audiences"" ****. But imagined my suprised when I saw the credits and it was all Japanese Developers. I would have never thought, that this big pile of **** was made by them. Now I see why Sony is slowly stayin far away from this Japanese companies. because even Western companies are not as blind, and so out of touch with reality. Sony needs to stop dealing with Konami, and Square Enix. These Japanese companies just keep popping out these awful exclusive games that ruin the PlayStation brand.Read More"
26,"9SolidChing85Feb 13, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
27,"9nuancesFeb 13, 2024Well-made, free reboot of the Silent Hill series with allusions to P.T. The story itself is heavy fare and not for the faint-hearted. If you have your own psychological problems, you should refrain from playing it so that you don't trigger yourself. You can have 2 - 3 hours of fun with it. The final chase is a bit annoying though."
28,"8skullboxFeb 13, 2024Como juego gratuito está muy bien. No se le puede exigir combate ni mas requisitos de calidad gráfica y de la historia.Todo eso se deberá exigir al Remake del Silent Hill2.

Es una oportunidad de acercar este genero a nuevos jugadores que no tuvieron la oportunidad de jugarlos en su época.

Es gratis, pruebalo.

As a free-to-play game it's very good. You can't demand combat or any more requirements for graphic and story quality. All of that will have to be demanded of the Silent Hill 2 ****'s an opportunity to bring this genre closer to new players who didn't have the opportunity to play them back in the day.Read More"
29,"2ECBNFeb 13, 2024As a PS5 game that can be played for free. This game is okay. But if it is a game in the Silent Hill series...I'm not satisfied."
30,"2loumexFeb 13, 2024Oh boy, the word MID never had a better reason to be used. 
Basic. Mid. Uninspired. Boring. Tedious. Been there done that a million times before.

But most of all, naive. So, so, so naive and remains in the surface. This is not something to be taken serious, because it feels like it was written by a 10 year old."
31,"8AlirezaaenineFeb 12, 2024The message conveyed is one of the most significant instances within our world. The game astounded me with its remarkable graphics. It effectively conveyed all of the main character's emotions to the player. The creators utilized two pivotal factors to instill fear in the player: logic and the player's experiences. One will undoubtedly be deeply scared by this masterpiece.Read More"
32,"3Manfra_22Feb 12, 2024O jogo todo é bem mediano. A história é fraca e é um walk simulator. Quando o jogo coloca você para jogar de fato, é uma perseguição frustrante e que te deixa com raiva ao invés de medo e apreensivo. Transformando o jogo como um todo em algo patético."
33,"3GooshoFeb 11, 2024If you think this game is anything like Silent Hill 1 - 3 or that it should be the future of the series please play those games again. The game is not scary whatsoever, the soundtrack is okay, but the sound design much to leave desired as it strives for realism over horror. Speaking of realism, the dialogue could use a lot of it, most of the dialogue throughout the game sounds like its satire or written by an extraterrestrial trying to understand humans. The entire story and premise of the game is weird, it doesn't really make sense why the protag would go here or stay here. It also reiterates this theme that the strongest animals don't live in packs they survive on their own, which is just not true I don't know where this comes from? Even, ""lone wolves"" travel in packs and have alpha's and omega and so do lions like what are they talking about? The story mainly goes through themes of cyber bullying which I do not believe should be the basis of a SH game, just turn off your phone and touch grass. It constantly gives you warnings that break the horror about bullying and suicide prevention, if SH 1 - 3 did that no one would play it it would have been laughable. If every horror franchise put a warning and mentally prepared you for everything that happened the franchise wouldn't exist. As for the gameplay, it's mostly walking into buildup to scares that fall flat and ends with a Slenderman section. This whole game just feels like typical Konami using an old franchise they've left to rot in order to enhance their marketing and generate clout even though then entry doesn't fit into the franchise at all. Konami does the same thing with Castlevania, Bomberman, and everything else. They should look to Capcom for a publisher that actually treats their series right. Even though Capcom has, ""modernized"" Resident Evil, the franchise is selling better than ever and the fans are loving every bit of it. Capcom shows love to their franchises, makes good games, and and makes good remakes. Meanwhile Konami just juices the life out of all their franchises. I hope they go out of business and sell their IPs.Read More"
34,"8AramesFeb 11, 2024Nice first short game for the rebirth of conami, I really liked. The story is moderately good, it has a very good setting and it makes you very afraid"
35,"8ForGamersFeb 11, 2024Traz um terror contemporâneo e trilha sonora impecáve. Jogo feito na Unreal 5 traz gráfico bonito."
36,"9wacko4487Feb 11, 2024great proyect, without many missing elements that everyones wanted to be in the game is a great experience, simple and solid message, feels the effort of the creators, plus is free, think everyone needs to try for that reasons"
37,"0momosh1Feb 11, 2024I've never played anything this cringe before, I laughed so many times.
Altho I liked the living room part, other than that, the rest is so cringe and sat through the whole demo cringing the whole way.
Very concerned for the future of SH."
38,"7FDH-27Feb 10, 2024اللعبة  جدا والدقة جدا رهيبة لكن القصة عادية حيل ومافي الغاز كثير.........."
39,"10Mashiba88Feb 9, 2024A very good game. I think that´s the way that many future Silent Hill´s games should follow. And it´s totally free! Nice one, Konami :)"
40,"8Ginzilla86Feb 9, 2024Can't understand the negative reviews at all. The demo entertained me in a dark, melancholic and hyper way. Plus, it's really pretty, bold in content and full of references to the franchise. I'm looking forward to the remake of Silent Hill 2."
41,"3asaadalshahinFeb 9, 2024An okay (at best) story combined with awful, archaic “2012 first person indie horror game” gameplay. While the graphics are fantastic, the dialogue, animations and voice acting SCREAM low budget and amateur. Also, whoever put together the chase sequences in this game should be ashamed. The game would have been tolerable as just a walking sim, to add BAD gameplay on top of it turned the game from mediocre to terrible. If this is a sign of the amount of time, effort and resources Konami is willing to put to its most treasured horror franchise, then that’s what I fear the most.Read More"
42,"1LordBitFeb 9, 2024si esto es con lo que piensan revivir silent hill, les quedo nefasto, Konami no se que piensa tiene en las manos una gran saga y solo hace meter y meter la pata."
43,"8ArgeGameVzlaFeb 9, 2024A gameA game Very entertaining I liked itVery entertaining I liked it The history and environmentThe history and environmentGraphicsGraphics LeavesLeaves More thanMore than Want"
44,"7Zeon1982Feb 8, 2024I kind of liked it. The fear factor was there in the final chase section. I needed to be more horrifying. More blood and monsters and have guns. If it had these things in it I would of been good."
45,"8GorineitorAkagiFeb 8, 2024Me ha gustado la puesta en escena aunque es corto , entiendo que es como una presentacion de lo que se va a venir. Creo que el juego que vendra ser muy bueno , lo espero con ganas"
46,"7whyorFeb 8, 2024I really liked this. it some problems but I am satisfied with what I got and I think they can make a compelling game with some of these systems. the gameplay mechanics were really strong. this game leverages the horrors people are capable of quite well. gameplay has some excellent moments but is held back by some strange choices. ring around the Rosie's is never going to be good please stop using it. I loved the dreamlike shifting of the environment, I can see inspiration from outer wilds. the puzzles were good but some of them could use a tiny bit more information but at the same time I feel like that's my fault. I enjoyed that they were hard and I like the struggle. the final gameplay section is a long chase that is almost great but fumbles it because it's just picking up some photos. I found myself dreading the horror sections not because they were scary but because they were the least interesting gameplay and never developed the story. I wouldn't consider this a good horror game for that reason but it is a decent demo with some promising direction and ideas.Read More"
47,"4Alecrast82Feb 8, 2024I'm hoping the upcoming game is nothing like this. They tried so hard to make a compelling story and it just feels like a forced agenda. The run from the monster scenes are stressing but not scary in any way."
48,"0LokimusicFeb 7, 2024Maltratam os jogadores com jogos grátis, se fazem algo grátis sempre fazem algo ruim, mas pelo menos é grátis não temos que gastar dinheiro"
49,"4AngelMiamiFeb 7, 2024Visuals and Graphics are good, but other than that the Game ****, the story was Meh Nothing Special, gameplay is basically walking simulator, it would be fine if it was Scary like OUTLAST for example, but it offer Nothing like that, The Last Chase Sequence is Frustrating rather than Horrific."
50,"8spectaculhereFeb 7, 2024I take it as a note of intent. Konami and the devs show that they understand what SH is about, and prove it by creating a highly successful atmosphere, art direction and soundscape. The gameplay itself isn't very good but I don't think it's the major point here."
51,"10229BRFeb 7, 2024Brilliant free game to play, in my opinion it’s captured what was great about silent hill in tone and atmosphere, need to play it."
52,"10J227BRFeb 7, 2024Silent hill the short message for me is an great free short silent hill game to playy, nails the atmosphere, and vibesthat I used to enjoy as a silent hill fan worth the download."
53,"5Stefold08Feb 7, 2024Storia bella però le ambientazioni sono un po’ scarse, luce e ombre abbastanza scarsa come cosa potevano fare meglio"
54,"8notafilthycasulFeb 7, 2024If you're garbage at video games go back to playing board games. Chase sequences were the best part of the game, even better than the one in RE8. Very fun got the heart racing.
-4 points for crap dialog, characters and story. Teen melodrama crap, is this the target audience for Silent Hill now?
+2 it's free. Would like full fledged game that involves these escape scenarios, change the scenario writers though.Read More"
55,"2BRY9-5000Feb 7, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
56,"8Essense19Feb 6, 2024Why an 8 out of 10.

Because it’s a worthwhile gaming experience.  As far as interactive entertainment goes, and specifically interactive entertainment that tells a story (as opposed to games the gamer), thisis pretty dang good.

There are some chase sequences that I found irratating and expectil Not alone.  

If you have a big backlog, and want to get in and get out of a solid immersive experience, then I highly reccomend Silent Hill: AShort Message.Read More"
57,"7FarrocchioFeb 6, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
58,"8SeboyoFeb 6, 2024It's free and for a free game it has a lot of work behind it. It feels like a Silent Hill, fresh air for the franchise. The gameplay is not the best but it is not a problem due to its short duration. It works for what it is and doesn't want to be something it **** only bad thing I can say about the game is that the dubbing is not very well done and the story lacks subtlety.Read More"
59,"9D0GAHOTFeb 6, 2024Es un buen juego, es gratis y es disfrutable, muy recomendado la verdad. Más que todo es su historia original, su banda sonora y sus diseños, hecho por Masahiro y su música compuesta por Akira Yamaoka. Se necesitaba este nuevo juego para esta saga que se consideraba muerta o olvidada. 🩷"
60,"4KaldomxFeb 6, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
61,"3royalguy07Feb 6, 2024Dreadful walking simulator with a bizarre story. Controller feedback and sound design were good, props for being free and short."
62,"9MrScratchFeb 6, 2024Pretty much how the modern Silent Hill should look like. Although this is free and short game, it contains the essense of original Silent Hills."
63,"3Baggy11Feb 6, 2024This game has a couple of good moments, but overall I was happy it is only an hour and bit long, I started to get bored and frustrated with the enemy which all you can do is run... 

Go thing this was a free game as I would have given is a 1 otherwise.."
64,"9NecropediaFeb 6, 2024I don't give 10's because no game is perfect. However, this game gets a lot of undeserved hate. It sends a powerful message and is a decent game to play, especially at no cost...Given that today's society is all about pressuring each other to KYS and denying accountability,I can see why some people wouldn't like it. Solid experience to play through at least once.Read More"
65,"10FuupsyFeb 6, 2024Best silent hill game we've had sense the original team silent. the silent hill community has been give such awful games for the past decade + (outside of PT which was a teaser) so it breaks my heart to see this game get such mediocre reviews when its such a huge step forward and an inspired step in the right direction for the SH franchise especially after the awful mess that was Ascension. The only real  valid complaint ive seen is people saying the dialogue is to on the nose when it deals with bully and social pressure. The reason i feel this misses the mark for a lot of people is because its focused on Japans cultural problems which is vastly different then western culture japan puts alot more pressure on youth to fit in and be normal to be successful then in the west where being an individual is praised being loud and open to who you are is celebrated so being bullied isnt as much as huge problem sense being different isn't viewed the same way. but japan is much more heigmonus everyone needs to fit in to the crowd standing out is viewed incredibly disrespectful and dangerous hence why social pressure feels so hard to relate to for a western audience we have bullying and social pressure but not nearly to the same degree. despite the culture difference i still saw the beauty and sentiment they tryed to portray i have my own critics of the narrative but it deserves to be praised for attempting something beautifulRead More"
66,"6fallen_hunterFeb 6, 2024It was ok, but just ok, nothing more nothing less. It doesn't represent the thrill of the franchise for sure but if you want to play something horror and short then Silent Hill: The Short Message is a nice option. I would like the graphics to be better."
67,"1escelatesquickFeb 5, 2024The time you spend playing this game is too steep a price for a pale imitation of PT."
68,"0shlmk4w411Feb 5, 2024an insult to the original silent hill series!

this looks and feels like an low-budget indie-game made by amateurs. 

big f to komami! unfortunately all hope is gone for the future of the silent hill franchise."
69,"9vzermianiFeb 5, 2024I finished the game very calmly, experimenting the details of the setting, which have always been a strong point in the franchise. My surprise is that it is really well executed; sounds and visuals are well crafted; highlight for sound design, really very immersive. There is no combat, just small sections with escape-based gameplay. It doesn't bother me, since the game clearly aims at the narrative. I liked the modern look of the plot and the ""tools"" used by the protagonist. My consideration is in relation to the story itself, which leaves no room for interpretation, worrying about telling the story in the clearest way possible.Read More"
70,"10Koleck0LPFeb 5, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
71,"8GhostXZ117Feb 5, 2024The game itself is very interesting, it tries to adapt the story to our current times and it does it really well with a great atmosphere and sound effects that really puts yourself as if you were the protagonist, Masahiro Ito designed a great monster who will try to catch you through this madness, Akira Yamaoka designed a great music to create an atmosphere that will scare you and make you feel uncomfortable at all time. The story is interesting and good but the explanation that this game gives you could be a bit repetitive, the cinematics are not the best but they are acceptable, level designs are amazing, the gameplay could have so much potential if they were ambitious but they weren’t unfortunately, and the game itself is short but a really good experience in my opinion. It is not the best silent hill game ever made but at least is a good start of the return of Konami to the horror franchise and also is a free game that will give you a good horror experience, and for that I’ll give this game a good 8/10 and I really hope great things for Konami and silent hill in the future.Read More"
72,"4PacheconskyFeb 5, 2024Buena ambientación pero mala trama, bastante obvia, tratan al jugador como tontos tratando de explicar la situación demasiadas veces, muy repetitivo."
73,"3LocksionFeb 5, 2024The game has good visuals and music but konami seems to have lost what makes a silent hill game. The delivery of the plot is too direct there is no symbolism here to be found, , also, I think this ""modern tragedy"" is too small of a theme in comparison to classic games where it was much darker. The gameplay is just stupid, even as walking simulator it takes control away way too often, so the player loses all of his immersion. The chases just don't work, most of the time it feels like you get caught randomly or as if you have to memorize a level because glitching phone doesn't fully work as it intended. Kind of afraid for the franchise after this entry.Read More"
74,"10JonahHdzFeb 5, 2024Being the first glimpse of what Konami can do nowadays with the franchise, it’s really good.
I just get the feeling that all these bad reviews come from either people that hasn’t even played the game and is just hating on it, or from Team Silent fanboys that hate everything that isn’t made by them."
75,"3trihazFeb 5, 2024It looks like Silent Hill, but the plot is bad... the gameplay is decent, though it manages to be worse than SH **** Memories."
76,"9D12720zFeb 5, 2024This is a fresh Start For the Silent Hill Franchise, I really enjoy it and the music and atmosphere is really Good️"
77,"10Purillo28Feb 5, 2024Me parece un juego interesante, sobretodo tratando un tema que a día de hoy cada vez hay más casos como es el tema del acoso y la ansiedad que sufren en silencio muchas personas el que sea gratis también ayuda a que llegue alas personas a mi me a gustado como lo han interpretado y como te sumerge en ese entorno oscuroRead More"
78,"10Kellvys_RayrFeb 5, 2024Grata surpresa, atmosfera, gráficos, e a mensagemdo game o torna uma boa pedida, Parabéns a Konami por lançar no anúncio e gratuito."
79,"8Robertc13Feb 4, 2024Short but sweet, the short message mixes modern horror elements with a fresh take on the original silent hill style. It breathes new life into the genre and ushers in more lore that will surely lead into the next iteration of silent hill. You won’t want to miss this if you’re a fan of modern horror."
80,"7Swarm967Feb 4, 2024Konami claramente necesita retroalimentación por eso saca estos juegos espero logren algo mejor a futuro"
81,"6wesker2012Feb 4, 2024Visuals and music were great.  The game had a Silent Hill vibe to it which was cool.  The chase gameplay scenes were tense but also kind of annoying.  The game did give me goosebumps a few times.  It was decent for a free game.  The plot wasn't very satisfying tho."
82,"1LokostillFeb 4, 2024Good experience and a literal short message that this new generation and prior can learn something from."
83,"7yigitcanonalFeb 4, 2024It is a fresh breath of air after the 'Ascension' thing. You really can feel the attention to detail in the enviromental story-telling and in the contributions to Silent Hill lore. For instance, turning it into something like ""Silent Hill Phenomenon"" is genius and gives the perfect room to expand the Silent Hill universe out of the actual town. 

Just one thing, if Konami wants to keep what makes Silent Hill special and create new cult classics like Silent Hill 2, they should hire writers who are big fans of David Lynch, and who can adopt his ""subtle"" and ""unapologetic"" story-telling style in a smooth and gamey way (Alan Wake is a good example). I don't think the world expects more Hollywood-esque written Silent Hill games. There are lots of go-to horror games like this and the competetion is harsh, it's hard to be unique. Use the strengths of series, and take the risks in writing, I'm sure it'll worth it at some point.Read More"
84,"6JakesymbolFeb 4, 2024A short, scary, moody walking simulator—go into it knowing what to expect. I appreciate this as a gesture of good will to fans and a way to respect that Silent Hill is first and foremost about cinematic horror. My complaint is that the writing is so literal and excessive, almost a quantity over quality problem. Everything going on has to be spelled out twice, while Silent Hill traditionally has been good because the storytelling was more subtle. I’m not talking about the themes, just the way they’re communicated. The other aspect of the writing I don’t like is that the dialogue, notes, and scrawlings on the walls are kind of mediocre. The English writers/regionalizers should have put more discipline and nuance into the word choice. Two examples: “sexy stuff.” Teens don’t say that. They’d say “n*des” or maybe “lewds.” And the insults used by the bullies and stuff are kind of mild and unspecific? “loser” “liar” etc. It kind of undercuts its own attempt to portray bullying. Bullying and abuse are harsh and evil, and it would have been much scarier if they hadn’t pulled their punches. I was verbally abused as a child and it was… so much meaner than this. This game could have been a whole other level of scary AND purposeful with better writing. Walking simulators are GREAT; think about Gone Home, Edith Finch, we’ve all gone to the rapture. I’m fine with a SH walking simulator and I know we’ll be getting full survival horror games. But this seems like it’s trailing behind the greats of the genre, another bright-eyed imitator, and it’s because of the writing.Read More"
85,"0iimarizinha_xzFeb 2, 2024This game, even free, is still expensive. It's just a walking simulator where nothing happens, it makes me scared of SH2 (which already doesn't look good considering it's the bloober team)."
86,"3RosvltFeb 4, 2024The game is a disappointment, I had higher hopes for the game because It's Silent Hill well known title in horror gaming industry but Its just disappointing. the only things that like about the game are the graphics and the atmosphere, they where great but other than that the game is not what I where expecting."
87,"8CherriecokeFeb 4, 2024The voice acting could have been better. And they should have removed it all together in places. For instance, the writing in the air or on refrigerators should have been left to us to read. It would have been more powerful. 

There was some lack of sublety, but overall, this game was solid. I loved the atmosphere and sound design. I felt connected to the characters. 

And I LOVED the monster design. So unique, beautiful and unsettling. The way it moved and the combined human-surreal shape was wonderfully unnerving. 

Is it a perfect Silent Hill? No, but it's pretty dang solid.Read More"
88,"8FakeMaryFeb 4, 2024Silent Hill: The Short Message is a good experience. It has a good story, good setting, good music by Akira Yamaoka himself, good artistic design (monsters and locations), and the gameplay is good. Overall, this is the first step in the right direction for Konami and I hope they take notes with this game. Silent Hill was never an action-based horror franchise and it's ridiculous seeing so many people criticize the game for being boring. And it is a shame that when Konami finally does something Silent Hill related that's more than decent, people still criticizes them. But that basically happens with every +20 year old gaming franchise, just look at Final Fantasy. Overall, The Short Message is a good experience. It isn't a masterpiece and it's missing aspects of what makes Silent Hill Silent Hill. But for a 2 hour long, free and experimental game which was made to basically test the grounds for future Silent Hill projects, it does more than what one might think. Try it for yourself and make your own conclusion.Read More"
89,"1DrObaidFeb 4, 2024Para mim esse jogo não deveria se chamar silent Hill e sim "" The Short Message "". Mais jamais silent Hill. tenho a mesma opinião com relação ao silent Hill ascensão aquilo não é silent Hill caramba."
90,"8DolphLOLFeb 4, 2024Most people seem to hate it but forget the fact that this is more of a psychological horror and not jumpscares, scary chases, etc. It's not perfect but this is a really decent Silent Hill game for its price. It represents current teenagers' depression fairly well"
91,"9Samsonite786Feb 4, 2024Solid title, keeps you engaged to the very end. Graphics and the atmosphere are on point. Definitely recommend this one to all horror fans."
92,"3DabbDaddyFeb 4, 2024Simply lame, no action, chase sequence, horror drama. Do not expect a Silent Hill game. Think Until Dawn but no choices."
93,"0funkataFeb 4, 2024Ever wondered what PT would be like if it were awful, bland and not scary in the least? Well wonder no longer. There are better games to spend your time on."
94,"10Lady_AlucardFeb 4, 2024Esse jogo refletiu oque eu sentia no passado muito boa a mensagem que o jogo passa recomendo muito bom"
95,"2AstikkaFeb 4, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
96,"1somepapiFeb 4, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
97,"7TheWrennessFeb 4, 2024The story was interesting but the English voice acting was hammy and over the top and goofy and it really broke the immersion and killed the seriousness of the story, though I guess that is teenagers for ya. The maze chase sequences were complete garbage though and the walking speed was too slow. But it was free and short and entertaining so worth a playthrough.Read More"
98,"9Rafael_S_CFeb 4, 2024Muito boa experiência. Atmosfera de terror, com bons gráficos, a exceção das mãos da personagem que tem texturas bem abaixo. É praticamente uma demo com menos de 2h, mas a história, apesar de ser um drama adolescente, te prende até descobrir o que está acontecendo. Para um game gratuito, me surpreendeu. É uma boa amostra do que pode vir nos próximos jogos.Read More"
99,"3KaijyuuFeb 4, 2024I mean for a freebie it's decent, but clearly a woke feminist game, all characters are female the few male they mention ate bad and evil."
100,"3Moises8531Feb 4, 2024No sé exactamente qué tiene de bueno este juego, que es gratis? En mi opinión es malísimo, nada que ver con la saga salvo un solo monstruo, repetitivo hasta la saciedad, un juego que lo único que te transmite es un poco de adrenalina al momento de huir, no tiene nada más, es un constante prueba y error... no me ha gustado nadaRead More"
101,"0darkokFeb 3, 2024que el juego sea gratis no es motivo para no recalcar que el juego es simplemente malo, nada que ver con Silent hill.
El mensaje sobre la depresion esta tan mal aplicado que hasta es ofensivo para las personas que puedan llegar a padecer este mal.
Ni siquiera el gameplay se salva, siendo un corre que te pillo generico, ni siquiera su ambientacion es buena.
¿hay algo que este juego no haga mal?
si fuera de pago seria la estafa del añoRead More"
102,"2dragonfireesFeb 3, 2024This game has a gameplay that looks like from the 90s. We can finally say Konami is dead.
No wonder why Sony is closing studios in Japan in favor of western studios."
