,Unnamed: 0,Comentario,Nome,Data,Comentario_Limpo,Sentimento
58,58,"Very solid, feels a little different due to Caesar being dead and his arc is done. But I’m very interested what comes next in this story.",Noah,2024-06-26,solid feel little different due cesar dead arc done ’ interested come next story,negativo
59,59,I've watched all the Planet of Apes films and I enjoyed this one...I can see a sequel coming.,Birgit R,2024-06-26,ive watched planet ape film enjoyed one see sequel coming,positivo
100,100,"Its ok , slow start but if you like the planet of the apes youll knit tot",Paulette  R,2024-06-25,ok slow start like planet ape you knit tot,positivo
101,101,"Just moving with the storytelling,no thrilling or exciting scenes .",Rahul J,2024-06-25,moving storytelling thrilling exciting scene,positivo
102,102,Great ending ! CGI was flawless,Manuel S,2024-06-25,great ending cgi flawless,positivo
103,103,"Does not show why its needed, doesnt add anything to the franchise. Wasnt bad just drags and when it ends you sit there thinking whats the point. The last trilogy was great and ended on a great note. Moving to many generations later and some characters act like they were there during the last trilogy events  ruins it all.  And the setup for the next installments isnt a good hook. Shouldve just left it alone. But since we are here would be best to tie in Tim Burtons Planet of the Apes movie and connect all with the original Heston version since they are planning another trilogy, then just let it be",Mr. Hollywood,2024-06-25,show needed doesnt add anything franchise wasnt bad drag end sit thinking whats point last trilogy great ended great note moving many generation later character act like last trilogy event ruin setup next installment isnt good hook should left alone since would best tie tim burton planet ape movie connect original weston version since planning another trilogy let,positivo
104,104,"I understand this movie was supposed to be decades after but I felt like there was no plot, just a lot of dialogue.",Megan,2024-06-25,understand movie supposed decade felt like plot lot dialogue,positivo
105,105,"Started strong with a great protagonist. Noah was written as an individual ready to sacrifice for others. Save the cat, go through some trauma, setting him off to get revenge, the whole shebang. However, after the first hour the story began to feel sloppy, accumulating a lot of unsure motives. 8/10 for what it’s worth. I would recommend it if you enjoy movies that take their time.",Jared Alan,2024-06-25,started strong great protagonist noah written individual ready sacrifice others save cat go trauma setting get revenge whole sheng however first hour story began feel sloppy accumulating lot unsure motif ’ worth would recommend enjoy movie take time,positivo
106,106,"Some of the more arts kind of corny, didnt make sense.  Pace was somewhat slow.  The ending was questionable.",Karen,2024-06-25,art kind corn didnt make sense pace somewhat slow ending questionable,positivo
107,107,Im like you to can be kids everyday,Joey,2024-06-25,im like kid everyday,positivo
108,108,"A very slow start, that I thank the movie could have speeded up. The movie picks up but by this time its pushing you to the end of the movie.  One scene in this movie that confused me was when Proximus sent his apes to kill Noas tribe. Noa then hikes across this dangerous travel  just to get there and Proximus just then trust Noa like he just did not kill his dad. then Proximus is surprised that Noa not only destroyed everything he worked for but kills him at the end of it. beside that weird story ark, This is a great movie and I'm a huge fan of this series.",Austin W,2024-06-25,slow start thank movie could seeded movie pick time pushing end movie one scene movie confused proxies sent ape kill nos tribe noa hike across dangerous travel get proxies trust noa like kill dad proxies surprised noa destroyed everything worked kill end beside weird story ark great movie im huge fan series,negativo
109,109,"Compelling characters, intriguing plot, great dialog, obvious set-up for next movie in franchise. Over all well done but just a tad ham handed when it came to handling all of the producers check boxes. I could almost see them setting up the stage for the next film while watching the credits.",Myk W,2024-06-24,compelling character intriguing plot great dialog obvious setup next movie franchise well done tad ham handed came handling producer check box could almost see setting stage next film watching credit,positivo
110,110,Literally 3 hours of my life I cant get back!,Kara,2024-06-24,literally hour life cant get back,neutro
111,111,Very much enjoyed it. Simple plot but why is that a bad thing. We are in the age of terrible movies and if this was released back in the day would be average. We are no longer in the golden age and it’s the best we are going to get.,Mark B,2024-06-24,much enjoyed simple plot bad thing age terrible movie released back day would average longer golden age ’ best going get,positivo
112,112,"(ESPAÑOL) Una película muy entretenida que expande más el lore de la saga, con muchas generaciones post Caesar. Sin embargo, con todo lo que se habló de la ""conexión"" con las entregas ochenteras, creó mucho hype y expectativa que lamentablemente no logró cumplir. Mucho ruido.",Seba P,2024-06-24,spanish entertaining film expands lore saga many post cesar generationshowever everything discussed connection eighty delivery created lot hype expectation unfortunately failed meetnoisy,negativo
113,113,Continues one of the most underrated franchiseso in a great way,Landon N,2024-06-24,continues one underrated franchises great way,positivo
114,114,It was slow in action and kind of boring.,Rich,2024-06-24,slow action kind boring,positivo
115,115,"Part 1, 2, and 3 … were FANTASTIC! 
Part 4 … Was a step backwards ( ie: OK - but not great )

It was disappointing to see they did not carry forward, with Cornelius ‘growing/grown’ up .",STEVE C,2024-06-24,part … fantastic part … step backwards ie ok great disappointing see carry forward cornelius ‘ growinggrown ’,positivo
116,116,"Better than I expected, possibly the best of the franchise.",Paul S,2024-06-24,better expected possibly best franchise,positivo
117,117,Weak story line. Dialogue was so-so. Should have been more background on Caesar and the virus.,L.M.,2024-06-24,weak story line dialogue solo background cesar virus,negativo
118,118,"Must... Find... Clan.  Words... come slow.  Movie... is long.

I swear the ""primitive speech pattern"" value of putting 1/2 second gaps between every other word spoken in the Eagle Clan isn't worth the roughly 20 minutes of added running time this movie takes because of it.

At one point, the following actions are taken by Mae all within a couple minutes:

- Mae breaks glass to retrieve a fire axe from behind the glass.  We don't know why she needs it.
- Mae says to 3 apes: ""Stay Here"".  Without needing any explanation, they silently obey for no particular reason.
- When Mae gets to another room she just drops the fire axe to the floor without using it for anything at all.  Whuuu?  We have to assume something was edited out.

There are a few points of silliness like this throughout the film.

Meh, I was entertained.  My friends and I shared a laugh or two.",Charlie H,2024-06-23,must find clan word come slow movie long swear primitive speech pattern value putting second gap every word spoken eagle clan isnt worth roughly minute added running time movie take one point following action taken mae within couple minute mae break glass retrieve fire axe behind glass dont know need mae say ape stay without needing explanation silently obey particular reason mae get another room drop fire axe floor without using anything hulu assume something edited point silliness like throughout film meh entertained friend shared laugh two,positivo
119,119,"I love all the ape movies,but this one had me confused, it's a gap with the years,the story line is way too off but the scenes was amazing but I'm lost",Trae' M,2024-06-23,love ape moviesbut one confused gap yearsthe story line way scene amazing im lost,positivo
180,180,I liked the ability to see the facial expressions and to be able to tell the difference between the different chimps.  The story got off the ground a little slow and I am not sure if May was a good or a bad character but it certainly set things up for a sequel.,Valerie,2024-06-23,liked ability see facial expression able tell difference different champ story got ground little slow sure may good bad character certainly set thing sequel,positivo
181,181,Interesting plot but its too long for no good reason.,Tonya,2024-06-23,interesting plot long good reason,positivo
182,182,"This movie was horrible. In my opinion, considered leaving a multitude of times due to the lack of development of the plot. Overall, I was super dissatisfied with this film, and kept hoping that the plot would match the level of the CGI. The CGI was done phenomenally, but the lack of plot and predictable nature of the film made it extremely boring and uninteresting to watch. The only memorable part of this film for me was the orangutan who died early on, and even then, I don't remember his name, feeding into how much this movie lacked enthusiasm and engagement from an audience. I would not reccomend anyone to see this movie unless they want and desire to be bored out of their minds for the entirety of it.",,2024-06-23,movie horrible opinion considered leaving multitude time due lack development plot overall super dissatisfied film kept hoping plot would match level cgi cgi done phenomenal lack plot predictable nature film made extremely boring uninteresting watch memorable part film orangutan died early even dont remember name feeding much movie lacked enthusiasm engagement audience would recommend anyone see movie unless want desire bored mind entirety,neutro
183,183,The Story is exciting and I cant wait until another one comes out,Laura,2024-06-23,story exciting cant wait another one come,positivo
184,184,"Not the best, but progresses the franchise",Isaiah Y,2024-06-23,best progress franchise,positivo
185,185,This movie is a definitely must see. if you love the original planet of the apes trilogy you will love this. It’s seems like a new start to a reboot of a franchise l love the main ape characters like noa he’s not just a Caesar knockoff which is good is conflicted and the presence of Caesar in this movie even though he’s dead. The idea that the masked apes and proximus twisted caesers message and what he died for and the cinematography and effects in this movie are beautiful. I also love how the apes had a connection to birds in this movie which is soo unique and interesting and how the apes used birds to kill proximas was genius. In a way noa kind of reminds me of Caesar and proximas kind of reminds me of Koba. This movie is beautiful please make a sequel.,Abdullah A,2024-06-23,movie definitely must see love original planet ape trilogy love ’ seems like new start reboot franchise l love main ape character like noa ’ cesar knockout good conflicted presence cesar movie even though ’ dead idea masked ape proxies twisted cases message died cinematography effect movie beautiful also love ape connection bird movie soo unique interesting ape used bird kill proximal genius way noa kind reminds cesar proximal kind reminds koda movie beautiful please make sequel,positivo
186,186,Intereating story. Spectacular visuals.,Steven,2024-06-23,interesting story spectacular visuals,positivo
187,187,it was a good movie if u like the planet of the apes. As for as myself I do. Hope there is more to come.,David,2024-06-23,good movie u like planet ape hope come,positivo
188,188,"Traditional, archetypal plot— hero goes on a journey to reunite his people—but with interesting adaptation. It was a bit predictable but compelling even so.",Brad B,2024-06-23,traditional archetypal plot— hero go journey reunite people—but interesting adaptation bit predictable compelling even,positivo
189,189,"This movie had sooo much potential. But…. They dropped the ball. It was slow, with mediocre acting.",,2024-06-23,movie soon much potential but… dropped ball slow mediocre acting,neutro
190,190,I didnt like it at all.  It was very violent  and very hard to follow.,Jean P,2024-06-22,didnt like violent hard follow,positivo
191,191,"If you are a critical thinker, you will not enjoy this movie. Several unbelievable elements. If you blindly watch big budget highly cgi animated movies then I would rate a bit higher.  The acting was fairly good and the characters were believable, but again too many moments that your mind gets distracted and internally speaking trying to figure out how the moment or entire plot makes sense.  It's almost as if we are writing series style movies to be so open in concept that we become zombies to the fact that their is no real message, thought to common sense or an appreciation for a traditional start to a story, a a building of excitement in the middle and then a satisfying ending.  I won't be specific to those moments as to not ruin the movie, but come on Hollywood. Also disappointed that so many people rated this as good which encourages more poorly thought out movies. Then again our country is getting numb to intelligence.",Joshua Perrella H,2024-06-22,critical thinker enjoy movie several unbelievable element blindly watch big budget highly cgi animated movie would rate bit higher acting fairly good character believable many moment mind get distracted internally speaking trying figure moment entire plot make sense almost writing series style movie open concept become zombie fact real message thought common sense appreciation traditional start story building excitement middle satisfying ending wont specific moment ruin movie come hollywood also disappointed many people rated good encourages poorly thought movie country getting num intelligence,positivo
192,192,Went to see it due to boredom and nothing else to do at the moment. Wasn't expecting anything but a rehash. Pleasantly surprised. It was really good overall and the story line was unexpected. The CGI is phenomenal today and makes you forget that's what you're actually watching.,greg d,2024-06-22,went see due boredom nothing else moment wasnt expecting anything rehash pleasant surprised really good overall story line unexpected cgi phenomenal today make forget thats youre actually watching,positivo
193,193,A great way to proceed into ceasers legacy in the first three films. Great way to introduce new characters and can’t wait to see what Wes ball can do with the new ones they make(hopefully).,Jackson S,2024-06-22,great way proceed ceases legacy first three film great way introduce new character ’ wait see wes ball new one makehopefully,positivo
194,194,sa I usually don't  do  this but I saw it twice  and that's all I have to say  about that,xtopheles,2024-06-22,sa usually dont saw twice thats say,neutro
195,195,It was not what I expected!! The fourth movie was not tied to the first three in the sequel so this one left us with so many questions and did not make sense either!!,Tamai,2024-06-22,expected fourth movie tied first three sequel one left u many question make sense either,neutro
196,196,"First off even though I was kind of upset that Cesar died in the last movie and that it took place 300 years later, it will still look pretty great movie love when the movie ends and the credits playing I even felt like I was one of the apes honestly 10 out of 10 I even brought my Rottweiler to go see it",Joseph P,2024-06-22,first even though kind upset cesar died last movie took place year later still look pretty great movie love movie end credit playing even felt like one ape honestly even brought rottweiler go see,positivo
197,197,I like this series and this didn't disappoint.,Tabby,2024-06-22,like series didnt disappoint,positivo
198,198,"This felt like somebody picked my pocket By far, this is the worst of the planet of the apes movies. So bad i considered asking for a refund but was so nauseous I just had to leave the cinema. It’s a stupid movie almost completely filmed using CGI about a bunch of Gorillas trying to kill a bunch of Chimpanzees. Humans are interspersed, but without any purpose. Worst of all are the too many to count, unanswered questions and a finish that made absolutely no sense. I sat all the way through the credits thinking surely they are going to explain some of this In a teaser.  Nope. Save your money and hope that the next is Is produced and directed by more talented leadership.",Tim M,2024-06-21,felt like somebody picked pocket far worst planet ape movie bad considered asking refund gaseous leave cinema ’ stupid movie almost completely filmed using cgi bunch gorilla trying kill bunch chimpanzee human interspersed without purpose worst many count unanswered question finish made absolutely sense sat way credit thinking surely going explain teaser note save money hope next produced directed talented leadership,positivo
199,199,"When I sit here until you that it was a waste of $20 it was a waste of $20. I kind of regret sleeping through this movie because it was so boring. I’ve read other reviews and other people have a point there was only a segment on the ode movies, when the characters were mentioning Cesar, that’s it and I didn’t understand the last part. I’m assuming they didn’t have access to the satellites to be able to speak to the outside world didn’t really make sense to me, but hopefully you guys can do better with the next movie this movie sucked , the worst release of 2024",Omar M,2024-06-21,sit waste waste kind regret sleeping movie boring ’ read review people point segment ode movie character mentioning cesar ’ ’ understand last part ’ assuming ’ access satellite able speak outside world ’ really make sense hopefully guy better next movie movie sucked worst release,negativo
280,280,awesome movie. will definitely watch again,sierra,2024-06-21,awesome movie definitely watch,positivo
281,281,how can you not love these movies?! the action is great everyime. never disappointed.,Stephanie,2024-06-20,love movie action great everyone never disappointed,positivo
282,282,"Very predictable and overall quite lame. The usual action, fighting, barely escaping danger and stereotypical bad guys and the sudden timing of the coming to the rescue (think Han Solo and the millennium Falcon in the original Star wars) is just cookie cutter. I really would rather have enjoyed it. But it wasn't good.",Dave A,2024-06-20,predictable overall quite lame usual action fighting barely escaping danger stereotypical bad guy sudden timing coming rescue think han solo millennium falcon original star war cookie cutter really would rather enjoyed wasnt good,negativo
283,283,Enjoyable movie.  Interested to see how they will continue after this one,Rick,2024-06-20,enjoyable movie interested see continue one,positivo
284,284,"Really cool I'm excited for more movies a lot of world building going, it feels like a cool original story the writers of this movie deserve a raise",Cord S,2024-06-20,really cool im excited movie lot world building going feel like cool original story writer movie deserve raise,positivo
285,285,"Really disappointing addition to the series. The third movie left us in a great spot to explore the kingdom after Caesar's death, it made it hard to connect with any of the characters after seeing none of the previous characters would be included. They made small references to the old arch, but decided it was best to clean the slate and start anew. 

TERRIBLE execution. Might as well have made this a standalone movie rather than associate it with the other three preceding it.",,2024-06-20,really disappointing addition series third movie left u great spot explore kingdom cesar death made hard connect character seeing none previous character would included made small reference old arch decided best clean slate start anew terrible execution might well made standalone movie rather associate three preceding,positivo
286,286,"I really liked how the story was written, affects were great.  Probably the best Planet of the Apes movie so far.",Jaime D,2024-06-20,really liked story written affect great probably best planet ape movie far,positivo
287,287,What the hell did I just watch?,Ernie,2024-06-20,hell watch,negativo
288,288,Most disappointing release of 2024 so far. Didn't care for any of the characters and the story was weak. Seriously this was the best they could do?,Justin,2024-06-20,disappointing release far didnt care character story weak seriously best could,negativo
289,289,"It's a very solid movie that fits in well with the universe, emotionally investing with only a couple drawbacks",JJ W,2024-06-19,solid movie fit well universe emotionally investing couple drawback,positivo
290,290,Muy buena película con un gran protagonista que aún sin ser cesar es bueno es rápida con mucha acción y pinta muy bien,Café G,2024-06-19,good film great protagonist still without cesar good fast lot action paint well,positivo
291,291,"In my opinion, out of the current four planet of the apes movies, this is the third best. But I really liked this movie, though I saw the human betraying Noa from a mile away",,2024-06-19,opinion current four planet ape movie third best really liked movie though saw human betraying noa mile away,positivo
292,292,"Commencing a new era of Planet of the Apes films, this film embarks on a fresh narrative that warrants your attention. The character development is commendable, and the plot effectively sustains engagement. Moreover, the visuals are remarkable, complemented by impressive CGI.",William P,2024-06-19,commencing new era planet ape film film embarks fresh narrative warrant attention character development commendable plot effectively sustain engagement moreover visuals remarkable complemented impressive cgi,positivo
293,293,"Amazing movie, my daughter and me loved it!",Mike,2024-06-19,amazing movie daughter loved,positivo
294,294,"I loved how it tied in little tidbits from the other Apes movies.
Definitely liked this one, and a great night out with the family too!",Chris P,2024-06-19,loved tied little tidbits ape movie definitely liked one great night family,positivo
295,295,Pretty good. I liked the plot,Marvin W,2024-06-19,pretty good liked plot,positivo
296,296,"Really impressed with the world-building and the visuals in this movie! I wish that the main antagonist (the new Caesar) had a bigger role. He didn't show up until the end, and then I feel like he was not much of an obstacle for the main characters... Despite that, I think he was a great character, along with the other newly introduced characters, particularly the lead, Noa. I'm looking forward to seeing what they do next!",Indigo O,2024-06-19,really impressed worldbuilding visuals movie wish main antagonist new cesar bigger role didnt show end feel like much obstacle main character despite think great character along newly introduced character particularly lead noa im looking forward seeing next,neutro
297,297,"Fantastic film; serves as a worthy continuation of the previous trilogy while establishing a new setting and cast without requiring prior knowledge. The CGI is very well done and Proximus is an intriguing, highly charismatic villain.",Cole G,2024-06-19,fantastic film self worthy continuation previous trilogy establishing new setting cast without requiring prior knowledge cgi well done proxies intriguing highly charismatic villain,positivo
298,298,Was OK - nothing special,John K,2024-06-19,ok nothing special,neutro
299,299,Kinda slow and the storyline could've been better,Jenay S,2024-06-19,kinda slow storyline could better,positivo
400,400,It was fine but no real character development. Gratuitous violence.,Adrienne,2024-06-18,fine real character development gratuitous violence,negativo
401,401,Really good movie. Great expansion on the previous movies.,Nathaniel L,2024-06-18,really good movie great expansion previous movie,positivo
402,402,"Wasn't great but not bad, no real moments that 'WOWED' me like in the last three movies. Absolutely LOVE the Caesar trilogy but this one was kinda 'meh', I didn't dislike the main characters but nor did I 'like' them so couldn't really care what their fates were, I loved the oran-utang character and it was a shame there wasn't more of him. The ending, plot and main villain were totally underwhelming, the ending was dumb and when it happened you were kind of 'what was the point of this journey/story?' it didn't really tell anything. I liked the very final ending part though when the human base was revealed and it looks like it's setting itself up for a bigger and better sequel which gives me hope, but I won't be watching this movie again....unlike what I do frequently with the previous trilogy.",Stephen M,2024-06-18,wasnt great bad real moment towed like last three movie absolutely love cesar trilogy one kinda meh didnt dislike main character like couldnt really care fate loved oranutang character shame wasnt ending plot main villain totally underwhelming ending dumb happened kind point journeystory didnt really tell anything liked final ending part though human base revealed look like setting bigger better sequel give hope wont watching movie againunlike frequently previous trilogy,positivo
403,403,"A worthy successor to the previous trilogy, it will be interesting to see where this trilogy leads!",Logan,2024-06-18,worthy successor previous trilogy interesting see trilogy lead,positivo
404,404,i love this movie 10/10 banger best!!,troll f,2024-06-18,love movie banner best,positivo
405,405,Great movie 10/10 I can’t wait to see this franchise grow.,Riku S,2024-06-18,great movie ’ wait see franchise grow,positivo
406,406,Although it wasn't terrible it just wasn't what I thought it would be.  Could have waited to see it at home!!,K J,2024-06-18,although wasnt terrible wasnt thought would could waited see home,positivo
407,407,This movie was a cinematic masterpiece. The acting is top notch. The setting is amazing. And the story is beautiful. I have nothing negative to say about this movie. If your planning on with this movie then absolutely do it! Trust me it is worth your time!,,2024-06-18,movie cinematic masterpiece acting top notch setting amazing story beautiful nothing negative say movie planning movie absolutely trust worth time,positivo
408,408,"DO NOT GO SEE,the movie: ""Kingdom of the Planet of the Apes""(2024,(Rated=PG-13))! [I went to, and saw,""Kingdom of the Planet of the Apes""(2024),at 11:45am(CT) Sunday June 16, 2024[at GREAT movies places named:""Alamo Drafthouse Cinema""movies places];in Austin,Texas(TX).][I wrote my comments here at 12:29pm(CT) Tuesday June 18, 2024.]",Jeff C,2024-06-18,go beetle movie kingdom planet apesratedpg went sawkingdom planet pest act sunday june great movie place namedalamo drafthouse cinemamovies places austintexastxi wrote comment pmc tuesday june,positivo
409,409,"It wasnt terrible, but we really should stop making these. Lets come up with some original movie ideas.",SheCode,2024-06-18,wasnt terrible really stop making let come original movie idea,positivo
