,Comentario
10,"9GamergodsFailMay 26, 2024This is my first Prince of Persia game. I never really showed any interest in this series until I decided to check out the demo for this reboot. As a huge metroidvania fan, I knew I had to have it. 20+ hours in, I'm in love. The Lost Crown has to be one of the greatest and most rewarding action platformers I've ever had the pleasure of experiencing. The level design and puzzles are nothing short of brilliant, the controls are incredibly tight and responsive, and innovative time abilities constantly do a good job of changing the dynamic of gameplay. A couple of things could've been better. The story could've been a bit more engaging, and the music is just forgettable. But while quite not enough to redeem Ubisoft's many years of recent screwups, this title is by far one of 2024's best games, and is possibly the best game they've produced in over a decade.Read More"
11,"6LJP83May 23, 2024I'm giving this a 6 because it has really good production values and mechanics, but I personally hated it and will never play a game in this genre again, so I can't rate it any higher.

The exploration was amazingly tedious and frustrating, and so were the boss fights. Making progress was a chore, the whole game feels like a job, it's very rarely just fun, it's maybe something I would enjoy on my couch on a different platform, but I don't want tedious, annoying gameplay on my handheld.Read More"
12,"8EwokianMay 22, 2024Overall the game was decent in quality. Throughly enjoyed the story even though it was fairly obvious what would transpire. Solid platformer with fluid combat.

Crashed a few times but didn’t run into the bugs reported in earlier patches. Would definitely give it a go if it’s in your potential game list."
13,"9SpurdanielMay 20, 2024Prince of Persia: The Lost Crown is a great game. I really enjoyed the Trilogy, which I played on PC and I hoped for a Prince of Persia title for the modern PlayStation consoles. I was sceptical at first, when I found out it was a 2.5D game, but I still decided to buy it. In the end, it was much more fun than I had thought it would be. The combat system is great, even though it is in 2D and there are many hidden areas, which are fun to explore. There are also different areas, which are thematically different and they are all in an open world. The game was quite long (I needed around 50 hours to complete it the first time) and it didn't become boring. I would give it 10 points, but the story wasn't really well made, due to the game being non-linear. Overall, I think it's a great game.Read More"
14,"10ricjen27May 10, 2024Underrated great fun game.. easy to pick up any time.. no crazy commitment needed. very fun puzzles and challenges to solve.. wish the game would be longer. hope they release a DLC"
15,"10BurzykMay 9, 2024Simply one of the best metroidvania I ever played. Cool art style, kinda low-res but smooth 60 FPSon PS5. Great combat and platforming for like25 hours to platinum trophy."
16,"9VinivitorioyoMay 6, 2024Realmente é um jogo muito bom. Não achei tão fascinante como hollow knight ou Ori mas é melhor que o Metroid dread e isso é muito relevante. As mecânicas para não deixar o jogador perdido, poder escolher sua dificuldade, uma história interessante, legendas em português, jogabilidade deliciosa, bom sistema de combate, ótimos desafios de plataforma. Esse jogo entrega uma experiência maravilhosa. Poderia ter chefes mais marcantes, locais que me fizessem sentir mais imerso. Não que os locais e gráfico sejam ruins, mas eu queria ter me sentido mais imerso naquele mundo como me sinto no hollow knight. Também queria ter mais poderes desbloqueados ao longo da aventura. Senti uma progressão um pouco estagnado em alguns momentos. Essas críticas e problemas não afetam tanto a experiência que foi maravilhosa. Valeu muito. É um dos melhores títulos do Switch. 
Indico muito o jogo. Jogo engaja.Read More"
17,"9tom974May 6, 2024Ubi's best work since Rayman Legends from my point of view. An original metroidvania with clever mechanics and even more clever difficulty and exploration settings, allowing every player to experience it at its best. Graphics are sober but neat, framerate is solid. The fights are almost as thrilling as those of Hollow knight, demanding but fair, with an emphasis on the parry. From my point of view again, I recommend to begin in Hero difficulty, and even put it to max difficulty near the end since the accumulation of power ups and the player's assimilation of the skills can make you overpowered. 
A must play for metroidvania lovers.Read More"
18,"6kovalennkosMay 3, 2024Сюжет 5/10Безликая история “на нас напали” с развитием в какие-то мистические древние места, в которых странности со временем, за 30 часов игры сюжет почти не развивается, много всяких старых историй в записках, но они банальные и бессмысленные
Саунд 3/10Музыка очень плоха – я ее вообще отключил ближе к 10 часам, звуки урона вызывают уныние, вообще большинство звуков кроме мувмента неуместные и унылые
Геймплей 8/10 Основной геймплей очень разнообразный, а драки часто вариативные, что здорово. Не здорово, что нужно бегать по карте в поисках проема, в который то можешь залезть с текущими способностями. Точка перемещения отркывается раз в 5 зачищенных помещений, а так как жанр препдполагает, что тебе надо постоянно возвращаться в предыдущие места, ты бегаешь по одним и тем же в первый раз с интересом пройденные, но в последующие разы осточертевшие от ловушек и врагов локации. Из-за этого играть и перестал. Боссы симпатичные, но каждый босс заключается в том, чтоб запомнить, куда от него надо прыгнуть во время атаки и ударить 3 раза в окно. Вариативности и места тактике нет.
Визуал 7/102д платформер-метроидвания. Наверное, от такой игры графона и не ждешь. Что есть – выглядит неплохо, но не то чтоб красиво и цепляюще.Read More"
19,"10AlejandroSanzMay 1, 2024El mejor juego de Ubisoft que yo recuerde, es un metroidvania excelente en jugabilidad, historia, mapeado y graficos."
20,"10yeahahforrealApr 27, 2024Prince of persia is my game of the year. Very fun combat, platforming, and exploration . Combat is satisfying. You always have new stuff going on. Not repetitive. Abilities are amazing and badass. it looks and plays excellent, very smooth in everything. Some parts of platforming is challenging in a good way. Best metroidvania game.Read More"
21,"9vlaadi06Apr 24, 2024great metroidvania/soulslike, very fun and challenging bossfights, very customizable settings, you can let the game tell you where to go next or explore on your own. if you liked hollow knight, ori or any other beloved metroidvania then you should definitely try this one too. i am hyped for the upcoming updates"
22,"8OnioncreatureApr 21, 2024A really good Metroidvania title.  The gameplay is really engaging and fun.  Some elements do feel derivative of other titles.  I found the narrative fairly uninteresting.  Overall a good time, would recommend."
23,"9TibawApr 21, 2024Great game overall. The story could be perfectible. But, the gameplay itself is just great. I loved my time with it."
24,"8SlittherApr 19, 2024Jogo é bom, mas tem muito bug e os chefes são tristes. Esses chefes mal formulados mataram o jogo."
25,"10DakhwazApr 14, 2024This is the best POP I have played since Warrior Within. The gameplay is perfect."
26,"9edufd98Apr 10, 2024Very fun to play, compelling story, the art style is beautiful. The platforming is challenging and the puzzles was ok, but it's strongest point, in my opinion, is the fighting mechanics. I really enjoyed playing it."
27,"10CronstinteinApr 9, 2024My favorite metroid-vania to date (displacing Metroid: Dread).

The melee combat is very well realized and the enemy variety is wide enough to keep it interesting throughout the run time.

The platforming is incredibly satisfying and not too difficult.  The game feel here is absolutely top notch.  The amount of air control, jump height and the way you can (and should)  lift enemies and kick their asses in the air all feels amazing.  When you complete a longer section of demanding platforming, using multiple powers, it's great.

The story is surprisingly good as well!  If the story was throw-away, I still would have rated this game highly because it's the least important factor in a game like this, but I'm a **** for time travel and this game handles it well.

This game has all three kinds of heat and will surely be a classic in the genre for years to come.  I will definitely put this on my replay list for a few years down the road.Read More"
28,"9RobertBruceMar 31, 2024Prince of Persia lost crown is a top tier Metroidvania game. The game plays similarly to other Metroidvania games in the fashion of obtaining new abilities to access new areas of the game. There’s lots of collectibles and 9 side quests, so you are always rewarded when exploring.  The story is fine, but the gameplay is what makesthis game shine. The combat is real smooth and responsive, there’s lots of different abilities and different items for customization, lots of various enemies and bosses, the platforming is challenging in parts, but also very enjoyable. There are a number different puzzles throughout the game as well that are thought provoking and fun. The only issue I really had was often items I was searching for items and once found, I would be in a corner of the map with no fast travels nearby and I would just kill myself to respawn at last resting place. The game could have benefited from a “teleport to town” item of some sorts in my opinion. Fantastic game overall 9/10.Read More"
29,"9Floppyhoofd_Mar 25, 2024This is actually the first Metroidvania I can get into! I'd rather have little games like this than those godforsaken remakes. As far as I'm concerned, they can keep the Sands of Time remake and make a sequel to this!"
30,"9HydrophobikFishMar 25, 2024This game really caught me offguard, its an excellent metroidvania with fluid traversal, a huge map full of useful collectibles and challenges, and fun combat. It scales a little strangely: the platforming difficulty spike is huge while combat doesn't really grow from the early game, while the narrative is a bit unfocused and straight up forgets about a character, and bosses are (mostly) forgettable. But for 80% of the game it is addicting and fun. The real star is the platforming and the enormous map, coupled with a ton of great QOL changes.Read More"
31,"9zhumberJan 31, 2024Un buen juego, mecánicas excelentes, gráficos super, duración muy buena al igual que la musica. Para mejorar, la historia falta mas enganche pues no queda muy claro algunos temas y personajes, de igual forma los amuletos, algunos ni los usé y al final terminé con piedras para mejorar armas y con falta de ranuras, para mejorar sistema de amuletos. Muy buen Juego.Read More"
32,"4l0ckd0wn7Mar 22, 2024Wasn’t the game I expected to play compared to other prince of Persia played it for a while."
33,"10LeozerasMar 19, 2024Excelente metroidvania. Gameplay fluida, ótimas mecanicas e progressão de personagem."
34,"10PepperonipizzaMar 18, 2024Excellent game and I do wish they allow these studios to make more games so they can create games with love"
35,"9GgonzaloMar 17, 2024Prince of Persia: The Lost Crown es, a ciencia cierta, uno de los mejores metroidvanias del año.
En un momento en el que el genero carece de originalidad debido a la constante explotación a la que esta sometido,Ubisoft (por sorprendente que parezca) a sabido innovar.
Uno de sus puntos más fuertes es el combate. Por una parte, se basa en el uso de un simple pero efectivo sistema de combos, el cual, gracias a la variedad de enemigos, originalidad de las habilidades y profundidad dada por los amuletos, lo vuelve uno de los mejores con nada que envidiar a juegos como Hollow Knigt.
Por otro lado, haciendo honor a la saga a la que pertece, el juego dispone de un parkour fluido, complejo y super disfrutable con el cual puedes pasar horas sin aburrirte.
Y ya finalmente tenemos el mapa. Si bien es cierto que no es de los más complejos, cumple con su función y hace que cualquier jugador se pueda perder en el y pasar infinidad de horas.

Si tuviera que mencionar algo malo sería sin duda su historia la cual,si bien no esta puesta como una excusa, es completamente olvidable.
Con esto, Prince of Persia: The Lost Crown es una joya de ubisoft que te recomiendo jugar esté al precio que esté (Aunque en ofertas siempre será mejor). Ya estoy ansioso de las nuevas actualizaciones gratis y del DLC para poder rejugarlo.Read More"
36,"8jayyfeathrMar 17, 2024The story is catchy, and by the end you’ll be somewhat of an aem Jaír expert on Ancient Persian history and mythology!
The puzzles and gameplay are really quite good, if you like other 2d platformers. The accessibility/control customizability is 11/10: anyone can have a good time playing this whether you’re a hardcore vet or it’s your first game ever.

Also, Ubisoft did not use this game to showcase how  much costly DLC costumes and addons they can offer, which is highly appreciated.Read More"
37,"0spaghettiballsMar 15, 2024Why are people pretending this game is good lmao. Some of the worst level design, puzzle design, and boss design I've ever seen. Mixed in with clunky unresponsible controls. Even Indivisible is better than this."
38,"10SkitzofreniqMar 3, 2024If you enjoy Metroid, Hollow Knight type games then this is the game for you. Hell, even some of the puzzles reminded me of Celeste, which is also a game that I adore!
Great atmosphere, great gameplay, great music, great voice acting. All in all a great game! Kudos to all involved"
39,"10SiomeArchangelMar 3, 2024near perfection, hard, good story, good biomes, great mechanics. By far the best metroidvania of those 20 last years."
40,"10TinostephanoiMar 2, 2024Non habitué à ce genre de jeux j'ai voulu tenter  l'expérience parce que j'avais  trop envie de retrouver  le Prince de Perse.
Je m'attendais à abandonné tres vite car le jeux serait trop difficile mais pas du tout la difficulté est parfaitement pensé. 
Plus habitué à faire des grand open worl ce jeux m'a clairement donné envie d'essayer d'autres jeux du même genre.Read More"
41,"9CharlesDucheminMar 2, 2024Malditos bugs. Por lo demás, un juegazo: divertido, adictivo, variado, bonito. Quiero más, Bugisoft."
42,"9P1x3lMar 1, 2024Short reviews from a casual gamer - should you buy? Yes (details below).

This is my first dive into the Prince of Persia universe so bear that in mind when you read this small review, as I understand that most of the criticism with this game is the fact it's not your traditional Prince of Persia experience.

This game is utterly fantastic, I really admire the art style, almost a comic book feel. The game itself is a mixture of a classic Metroidvania and to a lesser extent, Dark Souls with intense and mostly difficult Boss Battles with move sets you need to learn and punish.

The game whilst being at it's core, a Metroidvania, is surprisingly deep with RPG elements such as gear upgrades, new amulets and special moves which ensures the formula does not get stale. 

Overall, the game drew me in almost immediately and I would strongly recommend you give it a try, providing you are not going into The Lost Crown with the expectation of it being your 'typical' Prince of Persia experience.Read More"
43,"9RycerzFeb 26, 2024Afgelopen weekend deze uitgespeeld en Platinum behaald.
Graphics; 
Goed. Doet zijn werk. Is vloeiend en duidelijk. Veel variatie in omgevingen. 
Alleen qua stijl, erg safe. 
Geluid;
Goede voice acting en fijne cool down muziek bij exploring en goede rock bij intense gevechten. Wederom goed maar erg safe.
Gameplay;
Na Metroid Dread de beste Metroidvania game op de current gen consoles. 
Super level design. Enorme variatie. Verhaal is goed. En een goede Platinum run.
Skill in platforming is wel verreist.
Power ups zorgen voor een fijne flow in de voortgang.
De 2 grote minpunten. Weinig vernieuwend en na uitspelen, weinig replay waarde.Read More"
44,"9LeFusilNintendoFeb 22, 2024Le jeu est vraiment cool avec une nouvelle histoire 
Incroyable!!!

C'est un renouveau incroyable pour une serie que je pensais ne jamais revoir. 

Un super 
Metroidvania"
45,"10LiemvmFeb 22, 2024Tôi đã từng chơi prince of persia trên đt nokia , giờ đây tôi có thể quay về tuổi thơ của mình với một siêu phẩm. 
Câu chuyện cuốn hút , tuy nhiên , về cuối có chút hụt hẫn khi cốt truyện quá nhanh. Gameplay tuyệt vời , độ khó có thể như những dòng game soul , rất nhiều hướng build cho nhân vật chính ,câu đố không quá khó đủ để dành sức ra suy nghĩ .
Đây là 1 trong những tựa game hay nhất tôi chơi từ đầu năm nay , hy vọng sẽ góp mặt trong GOTYRead More"
46,"8HerlebaldFeb 22, 2024Un très bon jeu de plate-forme !
Toutefois j'ai été surpris de la difficulté en mode normal (guerrier). Certains boss sont très costauds et il vous faudra connaître leurs attaques par coeur et comment les parer si vous souhaitez tenter le niveau immortel. Heureusement que les dégâts sont paramétrables.
Certaines plate-forme sont un véritable challenge demandant une dextérité sans faille pour espérer passer. Là aussi, il est possible d'éviter ces passages via l'activation d'un paramètre. 
Trouver tous les objets, coffres où amulette s pour faire le 100% demandent de nombreuses heures car la carte est très vaste.Read More"
47,"9FangRuFeb 22, 2024I generally do not play platforming games but this one I really enjoyed. Mechanics and gameplay are really smooth, art style is amazing and early difficulty is real."
48,"4OzanDKFeb 21, 2024I didn't like the graphics, but overall mechanics looks ok. Does this game deserve a  chance? IDK??"
49,"8briltFeb 21, 2024really fun metroidvania .... the platforming requires a lot of attention and can get into a little gray area of challenging and frustrating ... but overall really enjoyed it and finished it in about 30+ hours did all the side quests and found most of the items. 

Dropped to an 8 instead of 9 because it was a little buggy ... i needed to restart my ps5 a few times through my playthrough to fix reset some issues with powers 

I would have given a 9 if there was a new game +Read More"
50,"9Commando261187Feb 18, 2024If you started gaming as a kid in the 90s this game is exactly what you want. Beautiful art style, challenging and evolving combat, puzzles galore.

I actually thought I was past this platform style but Lost Crown brought me right back and got me thinking how much I would love more Metroid, Alien, Robocop, Judge Dredd games.

For the price it is a lot of game, never mind the 20 hour length nonsense. It's more like 30 unless you are either a cheat or a genius. Your dexterity better be good is all I will say because there are even times when you are patting yourself on the back for just jumping around.Read More"
51,"7ZintrulCreFeb 16, 20241. The overall difficulty is high, requiring a solid grasp of game mechanics even on the lowest setting.
2. High repetition: Every teleportation requires going to the position, leading to significant time wasted on meaningless travelling.
3. The plot is average, with many untold stories and hastily concluded characters, and the campaign is relatively short, taking around 10 hours to complete.Read More"
52,"10JAYGAMING029Feb 14, 2024Prince of Persia The Lost Crown is a beautiful game with impressive art and character design. The fluent gameplay and traversal elements all come together during its epic boss fights. Through exploration of its many environments, you will be well rewarded for your efforts upon completion of simple but rather fun puzzles. As you progress you will unlock tons of new abilities that can be used both in combat and parkour. The game's huge enemy variety keeps you on your feet while giving you a challenge. To finish things off the side content was mostly enjoyable and the OST was remarkable. My experience with Prince of Persia was truly special and for my first Metroidvania game, I was blown away! Ubisoft's best game!!Read More"
53,"10Kwjduff98Feb 13, 2024Phoenomenal in every single way. Love it. From the beautiful art style, immensely satisfying combat and great platforming. A must have."
54,"10Rallianto_RexFeb 13, 2024One of the best metroidvania games I've ever played. Never thought an actual good game would come out of Ubisoft. Game is amazing and runs amazing on all platforms, even Switch got 60fps."
55,"9JRGonzalezFeb 12, 2024Buena historia, control fantástico, se van desbloqueando nuevas habilidades conforme se avanza y resulta un juego muy divertido, motivador y te genera ganas de seguir. Muy viciado"
56,"10IsmaelNoisyFeb 12, 2024Um dos melhores Metroidvania ja feitos ! Gameplay refinada e responsiva , progressão excelente, level designe impecável, desafios de plataforma e de combate super bem trabalhados, boss fighters incríveis, gráficos competentes, boa historia, enfim, um pacote completo no gênero. Podemos dizer que é um AAA Metroidvania.Read More"
57,"9InnerDXFeb 11, 2024One of the better Metroidvania games I've played in a while. And while the story is generally serviceable, it had a moment or two that stood out. Highly recommend it!"
58,"10anonymousnerdFeb 10, 2024Brilliantly made game. Will definitely replay it many times. Some bugs, but nothing that makes or breaks the game. Would highly recommend!"
59,"10UghhhFeb 4, 2024Daaaaamn this game is good! Exploration amd platforming are great. Combat is diverse and fun, and challenging enough to keep you at the edge of your seat, without ever becoming frustrating."
60,"10ArrakisEyesFeb 9, 2024An amazing game to start the new year   , everything was perfect for this game, specially the art direction . I have been enjoyed platinum this game. Special thanks to Ubisoft for this masterpiece. I hope this games sells well so we can get more of Prince of persia."
61,"10RanGom007Feb 8, 2024С настолько сильным интересом я давно ни во что не играл. 38 часов чистого удовольствия от игрового процесса. Признаюсь , сомневался в качестве из-за плохой рекламы, но игра очень сильно удивила. Разработчики красавцы !

I haven't played anything for a long time with such a strong interest. 38 hours of pure gameplay fun. I admit, I doubted the quality due to bad advertising, but the game surprised me very much. The developers are handsome!Read More"
62,"8Bunker91Feb 8, 2024Un buen juego. Esta entretenido. Para ser de ubisoft es diferente de todo catalogo, como volviendo a los origenes pero actualizado. Si no fuera por los bugs tendria mas nota."
63,"7RefinedInsightsJan 30, 2024Average most of the time, decent at best, action is boring and repetitive, navigation is tedious, puzzles are not very fun, and the story is a cliche."
64,"9LMSZuluFeb 8, 2024The best game I've played in a long time.I really hope there is DLS for this. Game play, graphics, are incredible, it's a big game and took me well over the 20 hours I read it takes."
65,"10WeiKaalyFeb 7, 2024Easily the best 2d metrovania because the combat is really fun! The platforming is good and the story actually has effort compared to other metrovania. This is the best PoP since its SOT. 

I really hope one day this combat and PoP platforming can be translated into the 3d space"
66,"9mpeskFeb 6, 2024Very good Metroidvania and inspired by Hollow Knight too. The combat system is deep and versatile, depending of talisman and special moves equipped you can completely change the combat style. The combinations of button is maybe a little confusing at the beginning, but after a few hours of playing you get used to it. This game has also a good story, well written and explained. Wonderful graphic style, even though in some cut scene it could be a little better. Overall there are some minor bugs, which I hope will be fixed with a patch, but it's a very great game, absolutely recommended!Read More"
67,"8fallen_hunterFeb 6, 2024A nice and enjoyable game! The graphics are good and the story is incredible!"
68,"2sidorenikFeb 5, 2024Как и все у юбисофт: на релизе куча багов. На текущий момент не пофикшены баги для получения платины."
69,"9MalBlancFeb 5, 2024The ensuing decade saw the series languish in obscurity until the emergence of Prince of Persia: The Lost Crown – a title that not only recaptures the magic of the classic Prince of Persia games but does so by embracing a 2D Metroidvania framework reminiscent of the series' 1989 roots.

Read more on MalViews"
70,"8Fab83Feb 5, 2024Une belle surprise ce prince of persia il y a quelques défauts mais surtout de très belles sensations manette en mais bravo Ubi."
71,"8GeraltRUSFeb 5, 2024Pleasent Metroid clone with awesome gameplay and good music. Fun and challenging bossbatle, interesting and rewarding exploration. Not interesting main story and more bad writing with boring charactecters tho. Solid 8."
72,"3PedroBonettFeb 5, 2024Un juego en 2,5D horrible no se puede comparar con starfield or  resident evil 2 remake. No. Es feo horrible. Esperando a que rebajen drastricamente el precio."
73,"5OndikFeb 4, 2024First half is awesome. But then it turns into platforming nightmare. Every turn, every path just long and frustrating platforming section"
74,"9jessejojoFeb 4, 2024The first Ubisoft game ive finished in over five years and easily the best game they have put out recently. This is an almost perfect metroidvania with a beautiful story, engaging combat, satisfying movement, challenging boss fights and memorable characters. I hope the game gets the attention it deserves and I would love to see a sequel.Read More"
75,"10Juju34Feb 2, 2024A genuine Masterpiece ! Ubisoft Montpellier has cooked something very special, both fresh and familiar ! Some platforming sequences and fights can be brutal but there's a ton of accessible options to adapt your skills. Love the boss fight so far and the score !!!"
76,"10SoulbeachFeb 2, 2024A perfect Gem ****!

Fantastic controls for navigating the treacherous environments and fighting the enemies populating them. Animations are superb, the storytelling is good, the ART really stands out and is magnificent.

It’s hard but the ""guided"" option seems to provide the Golden Path, thus you get the upgrades more rapidly and is a huge time saver if you can't spend 52 hours (Like I did) to complete the game.

This game deserves much more attention.

I know it’s crazy early in the year but it’s a GOTY (Game of the year) for me.Read More"
77,"10Dennidenito91Feb 2, 2024Amazing Metroidvania. Ubisoft seems on the right track. Fun gameplay, Solid Story, nice artwork."
78,"4TiaxTheMightyFeb 1, 2024I've played every single Prince of Persia game. This is by far and easily the absolute worst. I never had any difficulty issues in ANY of the other games. This one is nightmare fuel. Not to mention the difficulty is exacerbated by bugs. There's a mid-air dash that can be used to recover from hits... except I spent over an hour trying to complete this challenge in the training only to find the move was bugged.

The combat is needlessly difficult and focuses on sequences of 1-2 hit+dodge+1-2hit+dodge. There are cool acrobatic maneuvers and combos you can do. Truly some fun stuff.

The problem: They can only be performed on the absolutely weakest enemies that can be juggled. Enemies that you don't need to use these flashy moves on.  In addition to the majority of enemies being immune to being launched, there are also unstunnable enemies (and many enemies that are BOTH immune to being launched AND unstunnable) that, once again, rather than incentivize you, they *necessitate* the boring souls-like 1-2hit+dodge+repeat. 

I used to feel so stylish and badass when I played this game. I don't anymore. Every single fight is a struggle.

Traps: Traps are OKAY. If you even touch a trap in sequence, you are teleported to the beginning of the that particular sequence with some health shaved off.  However, there are far too many gotcha moments. 

There are times when you complete a particularly hard sequence and feel triumphant only for a chest to be a mimic that starts attacking you, has way too much health, can't be juggled, is immune to stun, and the attack's telegraph is a red line going horizontally across the screen. Easy, right? Nope. This move is a 50/50. The mimic either launches horizontally across the room - requiring you to jump - OR the mimic launches projectiles vertically into the air - hitting you if you jump. 

I completed 40% of this game before I gave up in utter disgust. I guess every beloved franchise eventually turns to ****.

I recommend this game only if you're an utter masochist who beats most games on the highest difficulty and can input 11 different button combinations in under a second, and have incredible eyes that can track the tiniest of movements and react instantly.

Oh and the story is really disappointing though I don't expect many people to care due to the type of game this is.Read More"
79,"10skyradaFeb 1, 2024Jogo sensacional! Mitologia muito boa, com muita interação e um nível de dificuldade bom!"
80,"8MurphyBrandonJan 30, 2024The new Prince of Persia game excels in challenging combat and precise platforming. It feels good to play as Sargon because he's fast and acrobatic. His special abilities add even more style to the action. However, your timing of dodges, jumps, and parries is still the most pivotal thing that will determine victory or defeat. 

Even with its simple story, The Lost Crown kept me engaged by slowly revealing the characters' motives and throwing in a few interesting twists. It features scenes that appear like an animated film, which is rare for the metroidvania genre. Plus, those scenes develop the plot quickly and let you get back into the action right away. They don't waste your time.Read More"
81,"10JuSamaJan 30, 2024Não sou muito fan do estilo de jogo Metro, mas Prince of Persia acabou me conquistando, ainda mais com sua dificuldade mil."
82,"10DrPouleyJan 30, 2024Exceptionnal game. Every power feels like a new way to fight or move around, it's empowering and soooo exciting ! Everything is perfectly balanced and i never feel like i'm losing my time, like in other metroidvanias, just trying to guess where i should go. This game values my time, without making it easy on me. Just the right balance between challenging and approchableRead More"
83,"10IxJan 29, 2024C'est trop bien !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!et trop beau"
